year,km_driven,mileage,engine,max_power,seats
2011,80000,17.0,1197,80.0,5
2014,44000,16.55,1968,147.51,5
2013,90000,23.59,1364,67.04,5
2017,80000,22.95,1248,74.0,5
2012,60000,22.3,1248,74.0,5
2014,18945,21.1,814,55.2,5
2018,70000,24.0,1186,73.97,5
2013,100000,15.1,1196,73.0,7
2017,60000,20.62,1198,67.0,7
2009,144000,19.3,1248,73.9,5
2016,120000,18.49,1493,100.0,7
2012,107825,21.9,1396,90.0,5
2019,1620,19.01,1462,103.2,6
2018,30000,21.19,1396,88.76,5
2018,70000,18.49,2179,120.0,9
2016,70000,15.96,2523,63.0,9
2017,50000,24.7,1047,69.0,5
2015,160000,25.1,1498,98.6,5
2019,10000,20.3,1086,68.0,5
2012,100000,20.77,1248,88.76,7
2016,50000,25.2,1248,74.0,5
2013,60000,20.2,998,67.1,5
2011,85000,21.5,1248,88.8,5
2010,90000,18.9,1061,67.0,5
2011,90000,25.0,1396,69.0,5
2007,90000,16.1,796,37.0,4
2012,120000,22.32,1582,126.32,5
2007,160000,13.93,2956,138.1,7
2006,141000,17.3,993,60.0,5
2008,100000,17.8,1248,75.0,5
2019,15000,22.1,1396,88.7,5
2012,108000,23.4,1248,74.0,5
2015,55000,25.44,936,56.3,5
2010,37944,18.4,1248,75.0,5
2008,85000,16.8,1493,110.0,5
2003,120000,20.8,1527,58.0,5
2019,5000,21.21,1197,81.8,5
2016,50000,19.87,1461,83.8,5
2019,5000,20.0,999,72.0,7
2011,80000,15.37,1196,73.0,5
2007,60000,18.2,1061,64.0,5
2017,63186,22.54,1396,88.73,5
2008,219000,13.6,2523,63.0,7
2013,110000,12.99,2494,100.0,7
2012,151000,12.8,2494,102.0,8
2010,91500,19.7,796,46.3,5
2015,23000,25.2,1248,74.0,5
2012,40000,20.54,1598,103.6,5
2018,10000,11.36,2755,171.5,7
2014,90000,14.0,2523,75.0,7
2016,68000,19.4,1198,86.8,5
2013,120000,22.7,1582,126.24,5
2013,65000,22.1,1248,76.9,5
2005,85000,15.3,1341,83.0,5
2011,94000,18.9,998,67.1,5
2015,100000,22.54,1396,88.73,5
2015,80000,22.54,1396,88.73,5
2013,80000,22.07,1199,73.9,5
2011,140500,17.88,1396,52.8,5
2013,60000,20.92,998,67.1,5
2011,120000,18.4,1248,75.0,5
2014,80000,13.01,2199,194.3,7
2014,63000,18.06,2523,63.0,7
2009,120000,18.0,995,62.0,5
2018,100000,28.4,1248,74.02,5
2018,60000,17.0,1591,121.3,5
2013,90000,13.58,2499,72.4,9
2014,50000,20.77,1248,88.76,7
2015,70000,15.4,2179,120.0,7
2010,40000,19.369999999999997,1248,81.86,5
2006,120000,16.1,1405,70.0,5
2013,195000,14.0,2523,75.0,8
2012,120000,13.93,2179,138.03,7
2012,360003,18.9,998,67.1,5
1999,60000,16.1,796,37.0,4
2016,20000,25.17,799,53.3,5
2014,37000,15.96,2523,62.1,7
2018,57000,25.1,1248,88.5,5
2011,110000,16.2,1493,110.0,5
2006,110000,13.9,1599,103.2,5
2013,120000,12.99,2494,100.57,8
2019,8079,24.7,1047,69.0,5
2015,114368,12.99,2494,100.6,7
2012,79990,17.8,1399,67.0,5
2012,81632,20.0,1399,68.0,5
2014,101504,22.7,1498,89.84,5
2012,90165,17.8,1399,67.0,5
2013,85036,15.1,2179,140.0,7
2013,160254,19.369999999999997,1248,81.86,5
2013,125531,22.77,1498,98.59,5
2019,10000,17.0,1591,121.3,5
2018,40000,21.5,1497,108.5,5
2008,120000,17.0,1497,118.0,5
2013,100000,23.2,1248,73.94,5
2011,110000,17.8,1399,68.0,5
2008,120000,16.8,1405,68.0,5
2000,206000,19.7,796,46.3,5
2017,40000,23.1,998,67.04,5
2011,170000,16.52,1991,123.7,5
2017,105000,21.38,1396,88.7,5
2011,80000,22.07,1199,73.9,5
2011,60000,16.2,1599,103.2,5
2015,70000,25.1,1498,98.6,5
2009,90000,19.7,796,46.3,5
2019,25000,28.4,1248,74.02,5
2015,53000,22.74,796,47.3,5
2011,90000,13.55,2179,118.35,7
2011,60000,12.8,2494,102.0,7
2014,150000,13.0,2982,168.5,7
2014,24000,16.55,2498,105.0,6
2016,100000,24.2,1498,98.6,7
2018,6000,18.15,1198,82.0,6
2013,49700,15.1,2179,140.0,7
2007,80000,12.8,2494,102.0,7
2000,100000,19.369999999999997,1248,81.86,5
2019,10000,21.21,1197,81.8,5
2019,21000,25.17,799,53.3,5
2013,25000,20.92,998,67.1,5
2016,22000,25.17,799,53.3,5
2016,20000,23.95,998,67.05,5
2017,15000,15.4,1497,117.3,7
2018,30000,25.83,1498,99.0,5
2017,6550,18.2,1199,88.7,5
2016,30000,24.0,1120,70.0,5
2013,56000,11.2,2993,241.0,4
2018,41779,21.21,1197,81.8,5
2016,54000,18.7,1199,88.7,5
2016,31000,13.0,2143,204.0,5
2017,37000,26.8,1248,74.0,5
2011,90000,18.1,1991,147.9,4
2018,13534,14.28,1798,138.03,5
2017,23000,17.9,2143,136.0,5
2019,43000,11.36,2755,171.5,8
2020,5000,17.8,1493,113.4,5
2017,70000,28.09,1248,88.5,5
2016,99000,21.66,1498,103.52,5
2018,28156,17.09,2993,261.4,4
2015,30000,18.7,1199,88.7,5
2017,63309,19.67,1582,126.2,5
2016,94000,11.36,2755,171.5,7
2017,155000,25.0,1396,69.01,5
2016,35000,23.1,998,67.04,5
2018,50000,24.0,1186,73.97,5
2010,185000,14.8,2499,80.0,7
2013,175000,19.09,1396,69.0,5
2016,11500,25.17,799,53.3,5
2019,3000,25.4,1186,73.97,5
2015,80000,22.1,1248,74.0,5
2005,40000,19.7,796,46.3,5
2015,90000,23.2,1248,73.94,5
2012,25000,21.03,1461,65.0,5
2011,50000,12.05,2179,120.0,8
2018,31800,18.6,1197,81.86,5
2014,65000,20.36,1197,78.9,5
2012,70000,20.8,1461,65.0,5
2017,5000,18.16,1196,86.8,5
2017,50000,21.1,814,55.2,5
2011,80000,17.2,1396,53.5,5
2014,70000,13.58,2499,72.4,9
2013,157000,15.96,2523,62.1,7
2011,80000,19.81,1086,68.05,5
2004,90000,19.369999999999997,1248,81.86,5
2004,80000,19.369999999999997,1248,81.86,5
2012,80000,19.369999999999997,1248,81.86,5
2012,70000,21.03,1461,65.0,5
2009,50000,16.0,995,63.0,5
2012,60000,20.0,1399,68.0,5
2014,106000,20.8,1461,65.0,5
2006,80000,10.5,2179,120.0,7
2016,80000,15.96,2523,63.0,9
2013,110000,12.99,2494,100.0,8
2011,120000,13.6,2523,63.0,7
2010,70000,18.9,1061,67.0,5
2018,60000,25.4,1186,73.97,5
2017,15000,22.0,1197,81.8,5
2011,40000,19.369999999999997,1248,81.86,5
2010,135000,14.0,2498,112.0,8
2018,26300,23.84,1199,84.0,5
2014,120000,15.96,2523,62.1,7
2017,35000,28.4,1248,74.02,5
2015,30000,20.85,1197,83.14,5
2012,165000,15.96,2523,62.1,7
2015,50000,17.57,1193,88.7,5
2010,100000,20.0,1399,68.0,5
2009,90000,19.369999999999997,1248,81.86,5
2007,120000,15.0,1586,104.68,5
2017,70000,17.5,1373,91.1,7
2008,90000,19.369999999999997,1248,81.86,5
2014,72000,18.6,1197,81.83,5
2017,50000,23.01,999,67.0,5
1996,5000,19.369999999999997,1248,81.86,5
2013,30000,25.4,624,37.48,4
2015,110000,26.21,1248,88.5,5
2017,25000,25.17,799,53.3,5
2014,120000,12.99,2494,100.6,7
2006,40000,19.7,796,46.3,5
2019,10000,25.17,799,53.3,5
2010,65000,18.9,1061,67.0,5
2019,10000,21.94,1196,61.7,5
2012,110000,13.87,1390,75.0,5
2008,120000,13.6,2523,63.0,7
2015,72000,15.37,1196,73.0,5
2014,89100,23.2,1248,73.94,5
2006,94000,17.4,1599,104.0,5
2015,120000,21.1,814,55.2,5
2012,110000,16.2,995,62.1,5
2018,50000,28.09,1248,88.5,5
2004,90000,16.8,1405,62.0,5
2014,23000,18.2,1199,82.4,5
2013,50000,16.8,796,34.2,5
2017,140000,21.94,1196,61.7,5
2019,16000,17.4,1197,81.86,5
2019,15000,20.14,1197,81.86,5
2010,200000,17.5,1197,85.8,5
2009,120000,19.7,796,46.3,5
2005,120000,15.3,1341,83.0,5
2016,38000,15.37,1196,73.0,5
2010,104000,15.0,1368,90.0,5
2017,120000,15.4,1497,117.3,7
2018,35000,24.3,1248,88.5,5
2011,210000,22.9,1248,74.0,5
2009,85000,21.1,1248,73.9,5
2012,80000,18.9,998,67.1,5
2012,50000,14.84,2143,170.0,5
2010,216000,12.8,2494,102.0,8
2015,84000,28.09,1248,88.5,5
2012,210000,12.99,2494,100.0,7
2006,100000,15.3,1341,83.0,5
2007,78000,16.1,1298,88.2,5
2002,161000,13.0,1493,100.0,5
2005,70000,19.7,796,46.3,5
2017,65000,19.98,1461,108.5,8
2015,50000,25.17,799,53.3,5
2019,25000,20.52,1197,81.8,5
2013,100000,15.96,2523,62.1,9
2018,6000,18.6,1197,81.83,5
2016,72113,21.9,1498,98.6,7
2012,40000,23.57,1396,70.0,5
2017,8000,18.6,1197,81.83,5
2010,20000,21.1,1197,85.8,5
2014,90000,25.2,1248,74.0,5
2018,25000,25.1,1248,88.5,5
2010,100000,18.8,1248,90.0,5
2006,60000,16.6,1388,68.0,5
2018,30000,21.19,1396,88.76,5
2007,120000,10.5,2609,120.0,7
2011,80000,13.93,2179,138.03,7
2010,75000,18.6,1199,79.4,5
2014,90000,24.4,1120,71.01,5
2012,100000,23.08,1461,63.12,5
2012,110000,22.3,1248,74.0,5
2011,100000,20.0,1399,68.0,5
2017,50000,25.4,1186,73.97,5
2011,200000,20.5,1248,91.7,5
2014,146000,13.01,2199,194.3,7
2009,80000,12.9,1598,102.5,5
2010,96443,11.57,2179,138.1,7
2009,100000,11.7,2354,177.6,5
2019,10000,21.21,1197,81.8,5
2014,100000,23.4,1248,74.0,5
2014,91000,22.54,1396,88.73,5
2009,100000,20.36,1197,78.9,5
2011,90000,17.0,1497,118.0,5
2016,60000,22.74,796,47.3,5
2016,51500,25.17,799,53.3,5
2016,60000,22.1,1248,74.0,5
2012,104500,20.0,1399,68.0,5
2012,120000,19.01,1461,108.45,5
2014,100000,22.9,1248,74.0,5
2008,90000,13.5,1799,130.0,5
2005,150000,18.9,998,67.1,5
2006,60000,18.9,998,67.1,5
2015,50000,17.43,1396,105.5,5
2019,10000,24.0,1186,73.97,5
2015,120000,15.4,1997,120.0,7
2017,40000,18.6,1197,81.83,5
2004,120000,19.369999999999997,1248,81.86,5
2014,50000,22.74,796,47.3,5
2014,90000,20.45,1461,83.8,5
2018,10000,23.5,909,45.0,8
2019,27000,23.95,998,67.05,5
2016,70000,26.59,1248,74.0,5
2017,50000,16.8,796,34.2,5
2008,60000,19.369999999999997,1248,81.86,5
2014,110000,24.0,1120,70.0,5
2015,100000,27.62,793,47.0,5
2018,50000,17.3,1497,121.0,7
2009,105000,17.8,1248,75.0,5
2013,110000,12.99,2494,100.6,8
2014,60000,15.1,2179,140.0,7
2010,60000,17.92,1086,62.1,5
2012,90000,25.44,936,57.6,5
2013,81000,19.01,1461,108.45,5
2018,80000,25.4,1186,73.97,5
2012,105000,19.01,1461,108.45,5
2017,60000,19.369999999999997,1248,81.86,5
2017,227000,17.5,1373,91.1,7
2012,100000,19.01,1461,108.45,5
2019,60000,21.94,1196,61.7,5
2013,70000,21.9,1396,88.76,5
2011,120000,20.54,1598,103.6,5
2009,80000,19.7,796,46.3,5
2008,120000,11.57,2179,138.1,7
2014,40000,17.92,1086,62.1,5
2014,53000,20.36,1197,78.9,5
2017,60000,25.2,1248,74.0,5
2017,30000,18.6,1197,81.83,5
2013,100000,20.54,1598,103.6,5
2018,70000,13.68,2393,147.8,7
2012,98000,20.77,1248,88.8,7
2014,60000,21.1,814,55.2,5
2010,80000,20.36,1197,78.9,5
2013,117000,11.18,2696,184.0,7
2017,19723,20.3,1199,84.0,5
2016,21446,16.8,1497,116.3,5
2017,52289,25.1,1248,88.5,5
2017,54470,15.4,2179,120.0,7
2017,25471,21.9,1396,90.0,5
2019,33928,23.84,1199,84.48,5
2009,54290,17.0,1497,118.0,5
2016,2118,19.4,1198,86.8,5
2017,61379,15.4,2179,120.0,7
2010,58544,17.4,1497,117.3,5
2016,74381,21.79,998,67.05,5
2001,35000,16.1,796,37.0,4
2008,65000,18.9,998,67.1,5
2014,74000,15.96,2523,62.1,7
2012,56000,20.36,1197,78.9,5
2019,19500,20.3,1086,68.07,5
2015,30000,18.6,1197,81.83,5
2017,5000,20.14,1197,81.86,5
2015,25000,17.01,1591,121.4,5
2016,72000,19.369999999999997,1248,81.86,5
2005,80000,13.6,2523,63.0,7
2013,29000,15.0,1598,103.5,5
2016,56832,19.87,1461,83.14,5
2014,30528,18.6,1197,81.86,5
2013,65285,24.7,1498,98.63,5
2020,20102,13.68,2393,147.51,8
2015,43000,18.7,1199,88.7,5
2013,52380,23.59,1364,67.04,5
2018,74250,21.0,1498,74.96,7
2017,57247,20.89,1197,81.8,5
2017,52000,24.3,1248,88.5,5
2011,47000,16.95,1498,97.7,5
2011,80000,17.8,1399,68.0,5
2011,85000,18.0,1248,75.0,5
2012,100000,19.3,1248,73.9,5
2011,110000,16.95,1498,97.7,5
2010,178000,20.4,1248,91.7,5
2010,120000,19.7,796,46.3,5
2017,70000,16.3,1956,170.0,5
2011,120000,12.8,1968,167.6,5
2010,155000,12.8,2494,102.0,8
2015,30000,20.51,998,67.04,5
2009,60000,18.9,1061,67.0,5
2012,70000,22.07,1199,73.9,5
2012,120000,22.32,1582,126.32,5
2015,120000,26.59,1248,74.0,5
2013,100000,20.0,1399,68.1,5
2010,120000,23.0,1396,90.0,5
2012,90000,22.9,1248,74.0,5
2012,90000,19.0,998,67.1,5
2013,100000,14.0,2498,112.0,8
2011,120000,17.6,1496,88.7,5
2017,35000,25.83,1498,99.0,5
2002,120000,16.1,796,37.0,4
2019,10000,22.54,1396,88.76,5
1994,100000,19.369999999999997,1248,81.86,5
2017,65000,25.5,1498,98.6,5
2007,90000,13.5,1799,130.0,5
2012,90000,20.92,998,67.1,5
2016,42323,21.19,1396,88.76,5
2013,42462,16.8,1497,116.3,5
2015,54723,25.2,1248,74.0,5
2011,42545,19.62,1998,190.0,5
2016,32000,25.1,1248,88.5,5
2017,41232,19.369999999999997,1248,0.0,5
2018,20375,20.89,1197,81.8,5
2013,43978,28.4,1248,74.0,5
2018,50000,24.3,1248,88.5,5
2018,30000,18.6,1197,81.83,5
2014,90000,20.77,1248,88.8,7
2013,48000,21.7,1498,98.96,5
2014,27233,27.4,1498,98.63,5
2017,28832,23.4,1248,74.0,5
2011,35000,15.0,1368,90.0,5
2015,35000,16.02,1373,93.7,7
2006,80000,17.7,1497,78.0,5
2016,30000,17.21,1493,100.0,7
2009,50000,19.81,1086,68.05,5
2016,40000,26.59,1248,74.0,5
2020,120000,15.1,2179,152.87,7
2011,60000,21.1,1248,73.9,5
2014,110000,15.96,2523,63.0,9
2016,67000,15.4,1997,120.0,7
2010,50000,20.0,1399,68.0,5
2008,40000,18.2,1061,64.0,5
2003,98000,10.5,2179,120.0,8
2015,120000,23.59,1364,67.05,5
1994,60000,16.1,796,37.0,4
2017,80000,24.3,1248,88.5,5
2015,50000,20.77,1248,88.76,7
2017,70000,21.5,1497,108.5,5
2006,110000,14.9,1991,112.2,5
2019,30000,23.84,1199,83.83,5
2016,80000,26.59,1248,74.0,5
2012,110000,19.3,1248,73.9,5
2003,120000,17.3,993,60.0,5
2014,70000,18.6,1197,81.83,5
2018,60000,22.54,1396,88.76,5
2006,90000,19.7,796,46.3,5
2011,90000,12.05,2179,120.0,8
2015,50000,19.81,1086,68.05,5
2013,90000,25.8,1498,98.6,5
2015,115000,26.59,1248,74.0,5
2013,150000,15.0,1396,98.6,5
2015,68000,20.4,1197,81.8,5
2013,90000,15.96,2523,62.1,7
2010,110000,15.6,1497,116.3,5
2013,70000,15.96,2523,62.1,7
2006,118000,19.369999999999997,1248,81.86,5
2007,100000,19.81,1086,68.05,5
2004,77000,16.1,796,37.0,4
2018,35500,28.4,1248,74.02,5
2018,17500,20.51,998,67.04,5
2017,27000,23.95,998,67.05,5
2016,25000,20.51,998,67.04,5
2015,80000,26.59,1248,74.0,5
2012,60000,19.7,796,46.3,5
2013,38000,22.07,1199,73.9,5
2012,100000,26.2,998,58.2,5
2011,110000,12.8,2494,102.0,8
2016,92000,21.9,1498,98.6,7
2012,180000,15.96,2523,62.1,9
2018,10000,21.4,1197,83.1,5
2017,35000,24.7,796,47.3,5
2017,35000,28.4,1248,74.0,5
2016,23000,24.0,1120,70.0,5
2012,150000,19.09,1396,69.0,5
2015,70000,24.4,1120,71.0,5
2017,40000,18.6,1197,81.83,5
2012,100000,21.9,1396,90.0,5
2017,50000,24.7,796,47.3,5
2010,120000,19.3,1248,73.9,5
2015,60000,24.4,1120,71.0,5
2015,28000,22.74,796,47.3,5
2009,60000,17.5,1298,85.8,5
2018,12000,10.91,3198,197.0,7
2019,4500,19.5,1199,88.76,5
2013,70000,25.0,1396,69.0,5
2017,120000,19.87,1461,83.8,5
2015,80000,19.0,1199,88.7,5
2009,150000,11.57,2179,138.1,7
2009,120000,15.7,1390,75.0,5
2014,50000,23.4,1248,74.0,5
2012,83000,16.8,1497,116.3,5
2017,20000,28.4,1248,74.02,5
2018,49000,12.9,2755,174.5,7
2017,6750,18.5,1198,86.8,5
2017,52000,17.0,1197,81.86,5
2017,51000,17.01,1582,126.2,5
2019,20000,22.0,1197,81.8,5
2011,18500,18.5,1197,85.8,5
2017,142000,18.49,1493,100.0,7
2016,50478,15.85,1499,110.4,5
2016,40000,19.87,1461,83.8,5
2019,2300,22.7,799,53.64,5
2016,40000,22.74,796,47.3,5
2012,119000,14.0,2489,95.0,8
2017,100000,24.52,1248,88.5,7
2009,50000,18.9,1061,67.0,5
2018,15000,17.0,1198,108.5,5
2017,17000,9.5,3604,280.0,5
2018,4295,17.1,1496,105.5,5
2018,5229,17.1,1496,105.5,5
2019,4701,20.7,1197,81.86,5
2016,6757,21.01,1197,81.8,5
2016,28182,14.3,1598,103.52,5
2019,11533,14.23,1498,104.55,5
2017,11688,17.8,1497,117.3,5
2018,23712,28.09,1248,88.5,5
2015,70670,16.5,1499,110.0,5
2014,79011,18.0,1497,117.3,5
2018,10000,18.9,1197,81.86,5
2015,58500,18.5,1197,85.8,5
2018,20000,21.4,1197,83.1,5
2018,30000,17.6,2179,153.86,7
2015,63000,22.77,1498,98.59,5
2016,35000,15.96,2523,62.1,7
2012,110000,19.09,1396,69.0,5
2018,25000,17.6,2179,153.86,7
2017,30000,17.36,1197,81.86,5
2018,35000,17.3,1497,121.0,8
2018,30000,23.01,999,67.0,5
2014,56000,17.4,1497,117.3,5
2017,12700,20.51,998,67.04,5
2018,35000,21.5,1497,108.5,5
2017,30000,19.1,1197,82.0,5
2012,120000,12.05,2179,120.0,9
2017,100000,14.1,2179,147.94,7
2017,34000,25.17,799,53.3,5
2011,56000,13.0,2489,95.0,8
2008,90000,19.81,1086,68.05,5
2010,65000,17.92,1086,62.1,5
2011,80000,13.93,2179,138.0,7
2012,90000,12.05,2179,120.0,8
2015,40000,23.95,998,67.05,5
2016,58000,19.67,1582,126.2,5
2018,25000,19.34,1462,103.0,7
2016,100000,21.1,814,55.2,5
2013,120000,22.3,1248,74.0,5
2010,90000,17.0,1197,80.0,5
2013,46815,22.1,1248,76.9,5
2015,80000,21.1,814,55.2,5
2013,100000,20.77,1248,88.8,7
2014,80000,20.51,998,67.06,5
2015,70000,23.1,998,67.04,5
2011,80000,17.0,1405,71.0,5
2014,40000,22.74,796,47.3,5
2011,60000,18.06,1198,75.0,5
2017,50000,18.6,1197,81.83,5
2016,30000,22.54,1396,88.73,5
2017,25000,18.9,1197,82.0,5
2010,334000,12.8,2494,102.0,7
2016,100000,17.45,1493,100.0,7
2014,175000,19.01,1461,108.45,5
2011,65000,12.6,1586,103.3,5
2009,90000,17.92,1086,62.1,5
2011,80000,20.0,1399,68.0,5
2018,110000,16.36,2179,140.0,7
2012,80000,19.369999999999997,1248,81.86,5
2008,60000,20.0,1339,108.5,5
2010,100875,11.79,2179,120.0,8
2016,30000,20.85,1197,83.14,5
2013,118000,24.0,1120,70.0,5
2013,69000,22.32,1582,126.32,5
2015,25000,20.85,1197,83.14,5
2015,100000,16.9,1197,81.86,5
2015,110000,26.59,1248,74.0,5
2015,60000,20.45,1461,83.8,5
2008,128000,0.0,1086,62.0,5
2017,120000,27.28,1047,69.0,5
2020,5000,20.7,1197,81.86,5
2009,90000,20.36,1197,78.9,5
2017,90000,19.67,1582,126.2,5
2012,144030,12.8,2354,177.6,5
2014,200000,25.1,1498,98.6,5
2016,29000,18.6,1197,81.83,5
2007,90000,17.3,1061,57.5,5
2009,176000,17.0,1461,66.0,5
2013,150000,19.09,1396,69.0,5
2016,90000,16.8,796,34.2,8
2014,70000,15.04,1598,103.2,5
2007,99000,19.2,1461,65.0,5
2018,5000,23.84,1199,84.0,5
2008,90000,16.52,1991,123.7,5
2006,88000,16.8,1405,62.0,5
2015,30000,26.59,1248,74.0,5
2016,50000,26.59,1248,74.0,5
2013,80000,23.4,1248,74.0,5
2016,40000,22.54,1396,88.73,5
2015,110000,20.77,1248,88.76,7
2015,48000,19.67,1582,126.2,5
2016,97000,16.96,1968,138.03,5
2016,60000,22.15,1498,108.6,5
2011,110000,0.0,2987,165.0,5
2018,12800,17.8,1496,105.5,5
2012,40000,21.1,814,55.2,5
2017,49000,28.4,1248,74.0,5
2014,25000,18.5,1197,85.8,5
2015,20000,20.4,1248,91.7,5
2018,17000,18.78,999,75.0,5
2014,120000,23.59,1364,67.04,5
2010,49000,18.5,1197,80.0,5
2016,29000,18.6,1197,81.83,5
2017,55000,19.61,1461,108.5,5
2017,35000,21.5,1497,108.5,5
2018,5000,20.63,1198,67.0,5
2017,60000,22.77,1498,98.59,5
2017,70000,20.85,1197,83.14,5
2008,120000,16.8,1493,110.0,5
2016,65100,18.49,1493,100.0,7
2019,20000,20.89,1197,81.8,5
2015,108000,21.19,1396,88.73,5
2019,15000,21.21,1197,81.8,5
2009,77000,17.92,1086,62.1,5
2015,18500,20.51,998,67.04,5
2015,15200,25.17,799,53.3,5
2015,35000,17.3,1497,117.3,7
2011,80000,22.32,1582,126.32,5
2013,70000,21.1,814,55.2,5
2014,80000,15.1,2179,140.0,7
2014,120000,19.01,1461,108.5,5
2012,82000,17.3,1998,163.7,5
2010,60000,16.8,1497,118.0,5
2017,50000,17.71,1197,78.9,5
2011,70000,20.0,1399,68.0,5
2017,70000,25.8,1498,98.6,5
2011,90000,23.0,1396,90.0,5
2016,70000,24.52,1248,88.5,7
2014,50000,22.74,796,47.3,5
2012,120000,19.7,796,35.0,8
2019,5000,17.19,1197,81.86,5
2018,25000,17.6,2179,147.94,7
2009,80000,12.05,2179,120.0,7
2017,25000,18.9,1197,82.0,5
2008,80000,19.7,796,46.3,5
2017,52000,21.66,1498,108.62,5
2016,80000,25.32,1198,77.0,6
2011,77000,19.369999999999997,1248,81.86,5
2017,30000,17.5,1199,88.7,5
2017,70000,24.52,1248,88.5,7
2011,120000,13.93,2179,138.1,7
2016,80000,25.83,1498,99.0,5
2013,140000,16.02,1373,93.7,7
2008,100000,13.9,1599,103.2,5
2019,100000,20.14,1197,81.86,5
2011,168000,12.8,2494,102.0,8
2010,120000,18.3,1991,147.9,5
2016,145000,23.59,1364,67.05,5
2011,90000,20.0,1399,68.0,5
2019,90000,20.14,1197,81.86,5
2018,80000,17.1,1956,170.0,5
2019,33000,19.4,1194,94.93,5
2014,13500,18.2,1199,82.4,5
2012,80000,17.0,1405,70.0,5
2017,20000,18.6,1197,81.83,5
2013,58000,23.4,1248,74.0,5
2015,30000,17.4,1497,117.3,5
2000,50000,16.1,796,37.0,4
2016,73000,25.83,1498,99.0,5
2014,90000,23.2,1248,73.94,5
2015,50000,20.51,998,67.04,5
2011,80000,22.32,1582,126.3,5
2011,70000,21.9,1396,90.0,5
2011,41000,18.0,995,62.0,5
2013,50000,16.47,1198,73.9,5
2014,113226,19.68,1399,67.0,5
2013,90000,20.0,1399,68.1,5
2007,70000,19.369999999999997,1248,81.86,5
2010,160500,13.5,2179,115.0,5
2015,30000,19.12,1373,91.1,5
2014,132000,19.72,1461,108.45,5
2013,120000,22.9,1248,74.0,5
2011,80000,16.2,1599,103.2,5
2015,57000,15.4,1997,120.0,7
2016,25000,17.01,1591,121.3,5
2015,80000,19.67,1582,126.2,5
2011,88000,16.52,1991,123.7,5
2014,217000,12.99,2494,100.6,7
2015,60000,20.62,1198,67.0,7
2017,43000,20.85,1197,83.14,5
2014,77000,21.66,1498,103.6,5
2015,40000,22.74,796,47.3,5
2014,139000,18.2,1248,73.8,8
2016,80000,18.9,1197,82.0,5
2014,76000,25.44,936,56.3,5
2007,62000,16.1,796,37.0,4
2007,110000,12.0,2092,127.0,7
2012,40000,16.2,995,62.1,5
2013,120000,19.369999999999997,1248,81.86,5
2012,1500000,15.1,2179,140.0,7
2011,70000,19.7,796,46.3,5
2012,77000,19.3,1248,73.9,5
2011,110000,18.0,995,62.0,5
2016,20000,20.51,998,67.04,5
1995,90000,19.369999999999997,1248,81.86,5
2005,120005,11.0,2987,198.5,5
2012,16830,20.2,998,67.1,5
2013,70000,15.96,2523,63.0,9
2017,38000,23.01,999,67.0,5
2013,80000,15.96,2523,63.0,9
2018,50000,14.24,2755,174.5,7
2007,50000,17.88,1396,52.8,5
2013,52000,17.21,1493,100.0,7
2012,50000,17.0,1405,70.0,5
2016,30000,21.1,814,55.2,5
2014,103000,15.96,2523,62.1,7
2010,80000,14.0,1595,102.0,5
2012,35000,23.03,1396,69.0,5
2018,60000,15.04,2755,174.5,7
2018,30000,16.0,1997,140.0,7
2015,40000,17.01,1499,110.4,5
2011,70000,19.0,1248,90.0,5
2010,120000,21.12,1248,88.8,5
2008,120000,12.05,2179,120.0,8
2012,90000,23.03,1396,69.0,5
2018,30000,16.8,796,34.2,8
2018,70000,21.38,1396,88.7,5
2016,20000,20.4,1197,81.8,5
2017,70000,19.09,1405,69.01,5
2016,65000,17.8,1497,117.3,5
2017,25000,23.84,1199,84.0,5
2019,10000,15.37,1196,73.0,5
2014,80000,11.07,2496,179.5,5
2010,63000,18.6,1199,79.4,5
2008,100000,16.8,1405,62.0,5
2018,16589,20.51,998,67.04,5
2016,53201,17.8,1497,117.3,5
2017,25272,21.01,1197,81.8,5
2017,53619,24.3,1248,88.5,5
2018,6001,15.9,1496,120.69,5
2013,80000,19.09,1405,69.01,5
2018,12000,19.6,1461,108.45,5
2017,40000,22.54,1396,88.73,5
2010,130000,17.8,1248,75.0,5
2011,202000,17.67,1968,138.08,5
2018,40000,28.09,1248,88.5,5
2000,70000,17.3,993,60.0,5
2008,120000,17.7,1497,78.0,5
2015,60000,26.59,1248,74.0,5
2006,120000,19.7,796,46.3,5
2003,90000,16.1,796,37.0,4
2006,100000,19.7,796,46.3,5
2004,160000,13.1,1493,82.0,5
2005,100000,13.1,1493,82.0,5
2013,60000,20.77,1248,88.76,7
2010,135000,18.3,1991,147.9,5
2016,90000,20.4,1197,81.8,5
2013,75000,22.07,1199,73.9,5
2005,185000,11.4,2494,100.6,7
2015,71717,19.34,1198,76.0,5
2011,150000,11.79,2179,120.0,8
2016,55000,26.59,1248,74.0,5
2012,90000,15.3,1596,99.6,5
2018,35000,23.01,999,67.0,5
2015,120000,12.55,2982,168.5,7
2011,100000,13.45,1086,62.1,5
2009,40000,12.9,1799,130.0,5
2010,100000,13.0,2489,95.0,8
2016,120000,14.1,2179,147.94,5
2014,60000,19.0,998,67.1,5
2019,2000,15.96,2523,63.0,9
2012,100000,14.0,2523,75.0,8
2015,110000,14.95,2489,93.7,7
